stop_id,stop_name,stop_lat,stop_lon
30414,Chester Rd & Baltimore Pk,39.913759,-75.344429
30415,Swarthmore Rd & Chester Rd,39.910666,-75.349319
30416,Springfield Mall - WE,39.914138,-75.350885
30479,West Chester Pk & Resoviour Rd -MBF,39.966291,-75.547908
30478,West Chester Pk & Boot Rd,39.985776,-75.415282
29918,Middletown Rd & Old Forge Rd - FS,39.919797,-75.442716
30000,Manoa Rd & Rockland Dr ,39.974312,-75.308128
30002,Manoa Rd & Woodland Dr ,39.974844,-75.305669
30012,Concord Rd & Engle St,39.845745,-75.395209
30013,Bethel Rd & Townsend St,39.845032,-75.394582
30014,15th & Esprey St - FS,39.859095,-75.363381
30521,Providence Rd & Jackson St,39.92666,-75.385874
30011,Bethal Rd & Townsend St,39.84489,-75.394674
30010,15th & Esprey St,39.858994,-75.363335
30009,Edgmont Av & Government Rd  ,39.8707,-75.385084
30017,6th St & Vista La,39.856525,-75.38551
30018,6th St & Vista La - FS,39.856637,-75.385526
30019,Bridgewater Rd & Brookhaven Rd ,39.862592,-75.394132
30020,Edgmont Av & 22nd St - FS,39.863987,-75.368836
30021,352 Plaza #2,39.879445,-75.395742
30022,Middletown Rd & Coebourn Blvd -MBNS,39.87593,-75.394392
30023,Middletown & Bortondale Rd,39.895232,-75.405187
30024,Middletown Rd & High Meadow Dr,39.881865,-75.399524
29975,Cope Rd & Carver Dr - Cheyney U,39.93252,-75.530907
30533,Gov Printz Blvd & Stevens Dr - FS,39.873073,-75.276948
29901,69th St & Ruskin La,39.950597,-75.255099
29904,3rd St & Fulton St,39.843967,-75.365751
29905,Ridge Av & Tainer Hill ,39.828223,-75.412524
29906,Ridge Av & Bradley St ,39.821295,-75.427877
29907,Ridge Av & Parkway Av ,39.81486,-75.440972
29908,Ridge Av & Parkway Av,39.814817,-75.440614
29909,Ridge Av & Bradley St ,39.82116,-75.427769
30361,UPS Employee lot #1 inside,39.859,-75.25899
30380,Market St & Ridge Rd,39.824686,-75.420898
29986,Bethel Av & Chelsea Pkwy ,39.849208,-75.448734
29841,Sproul Rd & Cedar Grove Rd - FS,39.968858,-75.359976
29844,Sproul Rd & Rolling Rd,39.974091,-75.362934
29845,Sproul Rd & Springfield Rd ,39.97528,-75.364337
29847,Springfield Rd & Davis Av,39.97779,-75.367568
30621,Wyeth Dr & Morehall Rd - MBFS,40.046147,-75.522158
30622,Matthews Rd & Vanguard Blvd,40.053296,-75.510034
30620,Bridge St & Main St,40.133853,-75.516328
30610,Olney Transportation Center,40.038806,-75.144171
30611,Wissahickon Transfer Center,40.01479,-75.206874
30612,Darby Transportation Center,39.918951,-75.262306
30613,Chester Transportation Center,39.849468,-75.360319
30614,Norristown Transportation Center,40.113584,-75.345042
30615,Philadelphia International Airport,39.876441,-75.241973
30616,Gulph Mills Station,40.071221,-75.3421
30617,Morehall Rd & Liberty Blvd,40.054747,-75.528177
30618,Morehall Rd & Valley Stream Pkwy-FS,40.057326,-75.528961
30619,Morehall Rd & Great Valley - MBFS,40.064612,-75.5355
29897,Manoa Rd & W Chester Pike,39.972219,-75.3132
29866,Media Line Rd & Pennview Ave - FS,39.980656,-75.382712
29848,Springfield Rd & Harmil Rd ,39.980504,-75.3708
30624,Matthews Rd & Vanguard Blvd,40.05368,-75.509633
30625,Industrial Blvd & Paoli Hospital,40.044261,-75.499513
30623,Industrial Blvd & Paoli Hospital,40.044288,-75.499347
29893,Manoa Rd & Darby Rd - FS,39.975794,-75.303576
29963,Chester Pk & Ridley Av ,39.909688,-75.271509
29973,Cheyney Rd & Patricia Ln - FS,39.89988,-75.509169
29974,University Circle & Hospitality Ln ,39.935762,-75.530222
29977,Evergreen Dr & Baltimore Pk - FS,39.882904,-75.529809
29809,Elwyn Institute - Dugan Ctr,39.914796,-75.413829
29810,State Rd & Meetinghouse Ln,39.93898,-75.347273
29811,Township Line & Bella Vista Rd ,39.947734,-75.324292
29812,Township Line Rd & Holywood David A,39.967208,-75.296954
29870,Springfield Rd & Harmil Rd ,39.980813,-75.371371
30559,MacDade Blvd & Glenfield Av,39.900275,-75.303191
29895,Manoa Rd & Shelbourne Rd,39.972958,-75.311409
29899,Lawrence Rd & Pathmark ,39.975695,-75.338397
29888,Lawrence Rd & Langford Rd,39.9735,-75.341467
29852,Media Line Rd @ Marple Newtown High,39.979933,-75.384337
29854,Media Line Rd & Old Cedar Grove Rd,39.977737,-75.387265
29856,Media Line Rd & Heather Rd,39.975356,-75.390682
29859,Media Line Rd & Drew Cir,39.969752,-75.39538
29860,Media Line Rd & Dogwood La,39.973589,-75.391671
29862,Media Line Rd & Malley St,39.976253,-75.388843
29863,Media Line Rd & Old Cedar Grove Rd ,39.977564,-75.386983
29867,Media Line Rd & Mark Ter - FS,39.981646,-75.381318
29868,Springfield Rd & Latches Ln - FS,39.982186,-75.3731
29871,Springfield Rd & Davis Av,39.978653,-75.368867
29872,Springfield Rd & Netherington Dr,39.97688,-75.366704
29874,Sproul Rd & Candlewood Rd - FS,39.974245,-75.363585
29875,Sproul Rd & Mary Ln,39.97218,-75.362046
29878,Sproul Rd & Hilldale Rd,39.966479,-75.359207
29879,Sproul Rd & Paxon Hollow Rd,39.963904,-75.357837
30328,McDonald Blvd & Commerce Dr,39.851146,-75.404473
29829,982 Parkway ,39.960013,-75.33503
29830,Susex Blvd & Abbott Blvd,39.958829,-75.340276
29887,Lawrence Rd & Broomall Field ,39.968017,-75.349287
29889,Lawrence Rd & Park Dr ,39.966539,-75.351253
29890,Lawrence Rd & Parkway Av,39.964595,-75.353923
29884,Lawrence Rd & Sussex,39.971499,-75.343892
29891,Lawrence Rd & Springhouse Rd ,39.966197,-75.351768
29892,Lawrence Rd & Sussex Blvd - FS,39.971593,-75.344205
30609,Frankford Transportation Center,40.023303,-75.077599
30632,Market St & Chatham Rd,39.961943,-75.25669
30633,Chestnut St & Farragut St,39.957139,-75.21441
30634,Chestnut St & 33rd St,39.954006,-75.189939
30593,Commerce Dr & McDonald Blvd - MBNS,39.848101,-75.404964
13886,VALLEY FORGE RD& OLD VALLEY FORGE R,40.105943,-75.407797
7364,1st Av & Maschezlmak Office Ctr,40.094902,-75.407351
24039,Frankford Av & Columbus Blvd ,39.964509,-75.134439
20912,Elmwood Av & 66th St,39.921468,-75.231503
13881,VALLEY FORGE RD& FIFTH AV,40.104175,-75.404034
13044,SHERATON& HOTEL KING OF PRUSSIA,40.09485,-75.41587
25135,Avenue of the States & 7th St,39.850709,-75.360919
30480,West Chester Pk & Westwood Park Eas,39.97054,-75.305776
26250,22nd St & Upland St,39.865704,-75.365021
29998,Manoa Rd & Shelbourne Rd ,39.972677,-75.311508
29999,Manoa Rd & Upland Rd ,39.973513,-75.309786
30001,Manoa Rd & Darby Rd ,39.975841,-75.303139
30003,Redhill Dr & Robinson Dr ,39.959723,-75.347697
30004,Central Blvd & Hampshire Dr - FS,39.965905,-75.339718
30005,Central Blvd & Farnsworth Dr - FS,39.966399,-75.339027
30006,Sussex Blvd & Oak Cir ,39.968806,-75.338205
30007,Sussex Blvd & Dorset Dr ,39.970749,-75.342205
30516,69th St Blvd & Marshall Rd - FS,39.953575,-75.258381
30515,69th St Blvd & Sansom St,39.957849,-75.258164
30509,Tri State Mall #3,39.815292,-75.448362
30514,South Av & Academy Av,39.903534,-75.304395
30527,Radnor St & Jefferson St,39.914592,-75.384546
30528,Radnor St & Baltimore Pk,39.916011,-75.384203
30529,Radnor St & Jefferson St,39.914807,-75.384593
29983,Market St & Hutchinson St - FS,39.825917,-75.421662
29984,Meetinghouse Rd & Johnson Rd - MBNS,39.83259,-75.435777
29985,Chichester Av & Thornton Rd - MBFS,39.836921,-75.442189
29970,Conchester Hwy & Spring Vly Rd - FS,39.880884,-75.518896
29972,Cheyney Rd & Gov Markham Dr - FS,39.896644,-75.507059
29976,Cheyney Rd & Patricia Ln,39.899698,-75.509244
29978,Chichester Av & Plum St ,39.843204,-75.443712
29979,Chichester Av & Mill St - MBFS,39.839015,-75.442846
29980,Chichester Av & Thornton Rd  - MBNS,39.837137,-75.442462
29981,Chichester Av & Thornton Rd ,39.836137,-75.442249
29987,Manchester Av & Emerald St,39.912629,-75.385161
29988,Providence Rd & Chatham Pl,39.901861,-75.374354
29971,Brookhaven Rd & Allencrest La ,39.896953,-75.375804
29989,Brookhaven Rd & Todmorden Dr #2,39.887949,-75.379844
29990,Chestnut St & Chestnut Ridge ,39.871222,-75.364762
29993,Brookhaven Rd & Allencrest La - FS,39.896737,-75.375614
29994,Providence Rd & Chatham Pl ,39.901946,-75.3741
30351,Church La & Radbourne Rd,39.948571,-75.254833
30357,3rd St & Fulton St,39.843777,-75.365913
30358,MacDade Blvd & Collingdale Av,39.910913,-75.278836
30360,UPS Customer Center & Deliveries,39.860017,-75.24592
30608,69th Street Terminal,39.962393,-75.259122
30605,Girard Av & Merion Av,39.972672,-75.216561
30607,Scenic Rd Station,39.940796,-75.325942
2211,Folcroft R2 Station       ,39.899249,-75.279344
627,International Airport Term. B   ,39.876075,-75.248132
15161,PNC GIS EB,40.102713,-75.41123
1735,Radisson Hotel (Valley Forge    ,40.094707,-75.416651
1736,Valley Forge National Park      ,40.100688,-75.423573
10273,MARKET ST& 18TH ST,39.953049,-75.169999
10267,MARKET ST& 16TH ST,39.952631,-75.167046
6831,DRIVEWAY& PULASKI RD KING OF PRUS.,40.088474,-75.39706
1136,Philadelphia Int'l Airport Term B,39.87714,-75.244154
2204,Folcroft R2 Station       ,39.899392,-75.279674
2205,Hook Rd & Primos Ave,39.895541,-75.275977
10912,North Gulph Rd & Walmart,40.08527,-75.399759
619,International Airport Term. B   ,39.876084,-75.248108
2210,Hook Rd & Primos Ave         ,39.896042,-75.27679
13889,VALLEY FORGE RD& TOWERS,40.103338,-75.412354
1977,Darby Rd & Brookline Blvd     ,39.978769,-75.304021
13878,VALLEY FORGE RD& BEIDLER RD,40.105526,-75.406895
13879,VALLEY FORGE RD& BEIDLER RD,40.105568,-75.406791
14854,Delcroft Shopping Center,39.89239,-75.282426
13885,VALLEY FORGE RD& MOORE RD,40.103195,-75.412011
14877,Chester Pk & Glenolden Av,39.897345,-75.291762
14878,Chester Pk & Glenolden Av,39.897496,-75.291702
13884,VALLEY FORGE RD& MANCIL MILL RD,40.105024,-75.408484
29920,State Rd & Burmont Rd ,39.95064,-75.311562
1739,Radisson Hotel (Valley Forge    ,40.095011,-75.41587
14985,North Gulph Rd & Stouffers,40.088119,-75.407791
14987,MARKET ST&15TH ST,39.952449,-75.165464
17028,Hook Rd & Industrial Dr,39.899077,-75.256346
17030,Hook Rd & Industrial Dr,39.899175,-75.256287
20432,Tri State Mall #2,39.815448,-75.448668
1197,6th and Market Sts              ,39.950605,-75.150592
1198,Juniper and Commerce Sts        ,39.952576,-75.162311
1200,20th St and Girard Av           ,39.972537,-75.168886
1213,4th St and Oregon Av            ,39.914791,-75.155098
1232,FRANKFORD TERMINAL              ,40.023204,-75.077245
1234,MEEHAN SCHOOL ARR               ,40.046387,-75.04511
1237,FRANKFORD & GREGG LOOP,40.054487,-75.005118
1248,Adams Av and Roosevelt Blvd     ,40.028961,-75.100293
1268,CITY HALL                       ,39.95244,-75.16544
1272,Logan Station,40.03068,-75.146662
1285,Tasker-Morris Station,39.929795,-75.168534
1099,Southampton Rd & Roosevelt Blvd,40.114747,-74.988635
1100,Knights Rd & Academy Rd - FS,40.091446,-74.966052
1113,Crispin Dr & Willits Rd ,40.054531,-75.010061
1114,Banes St & Welsh Rd ,40.085222,-75.039412
1131,G St & Hunting Park Av - FS,40.01153,-75.112461
1144,Church Ln & Chester Av ,39.926636,-75.246066
1146,69th Street Blvd & Marshall Rd - FS,39.953869,-75.258528
1147,69th Street Terminal            ,39.961937,-75.259099
1169,City Line Av & Bala Av,40.000252,-75.228709
1051,Willow Grove Av & Wyndmoor St - FS,40.073805,-75.197617
1154,65th St & Elmwood Av          ,39.922269,-75.230474
1171,Oak Hill Apartments             ,40.039414,-75.258028
1180,12th St & Girard Av,39.971063,-75.155757
1181,12th St & Washington Av,39.937361,-75.163111
1184,11th St & Market St - FS,39.951942,-75.158215
1194,Logan Circle W of 19th St - FS   ,39.958484,-75.170615
2496,Ardmore - Cricket Terr,40.006726,-75.290759
23688,Huntingdon Pk & Byberry Av - FS,40.148918,-75.058556
23690,Huntingdon Pk & Fettersmill Rd,40.124752,-75.063037
23692,Willits Rd & Cloverly Rd - FS,40.060802,-75.019971
23694,Convent Av & Fordham Rd - MBFS,40.061547,-75.015851
23696,Convent Av & Andover Rd,40.062406,-75.011044
23698,Academy Rd & Eden St,40.064792,-75.009233
23578,11th St & Chelten Av,40.049863,-75.137419
23580,Oxford Valley Mall & Old LincolnHwy,40.178458,-74.883016
23582,Old Lincoln Hwy & Wheeler Rd,40.177382,-74.900782
23584,Old Lincoln & N Flowers Rd ,40.178774,-74.906955
23586,Pine St & Flowers Av,40.174833,-74.916792
23588,Pine St & Woods Dr,40.170352,-74.914574
23590,Bellevue Av & Park Av,40.163725,-74.913532
23592,Pratt St & Castor Av ,40.02817,-75.087994
